Area,N,P205,K2SO4,CaO,MgO,Zn,Qfe,Rendimiento
1.69,210,78,170,8,35,8,2.7,27570
1.69,273,76,260,30,37,8,2.7,32800
1.69,258,76,225,30,37,8,2.7,8200
2.07,171,47,157,20,31,8,2,9272
2.07,175,47,177,20,40,8,2,16884
2.07,197,54,181,99,35.5,1.2,2,39900
2.07,197,54,171,99,38,1.2,2,25200
2.07,188,54,171,99,38,1.2,0.2,22886
2.07,210,78,170,8,35,8,2.7,29050
2.07,273,76,260,30,37,8,2.7,31980
2.07,258,76,225,30,37,8,2.7,13166
0.86,171,47,157,20,31,8,2,1396
0.86,175,47,177,20,40,8,2,2723
0.86,197,54,181,99,35.5,1.2,2,18480
0.86,197,54,171,99,38,1.2,2,11340
0.86,188,54,171,99,38,1.2,0.2,10315
0.86,210,78,170,8,35,8,2.7,12450
0.86,273,76,260,30,37,8,2.7,16810
0.86,258,76,225,30,37,8,2.7,4100
1.59,171,47,157,20,31,8,2,601
1.59,175,47,177,20,40,8,2,2570
1.59,197,54,181,99,35.5,1.2,2,15960
1.59,197,54,171,99,38,1.2,2,20580
1.59,188,54,171,99,38,1.2,0.2,10114
1.59,210,78,170,8,35,8,2.7,21165
1.59,273,76,260,30,37,8,2.7,25010
1.59,258,76,225,30,37,8,2.7,5740
